,Date,tmax,tmin,prcp
1,1893-01-01,45,20,0
2,1893-01-02,47,21,0
3,1893-01-03,48,NA,0
4,1893-01-04,48,NA,0
5,1893-01-05,47,NA,0
6,1893-01-06,48,NA,0
7,1893-01-07,50,NA,0
8,1893-01-08,51,NA,0
9,1893-01-09,51,NA,0
10,1893-01-10,55,NA,0
11,1893-01-11,44,NA,0
12,1893-01-12,40,NA,0
13,1893-01-13,44,NA,0
14,1893-01-14,42,NA,0
15,1893-01-15,49,NA,0.23
16,1893-01-16,40,NA,0
17,1893-01-17,41,NA,0
18,1893-01-18,30,NA,0
19,1893-01-19,28,NA,0
20,1893-01-20,31,NA,0
21,1893-01-21,28,NA,0
22,1893-01-22,38,NA,0
23,1893-01-23,25,NA,0
24,1893-01-24,31,NA,0
25,1893-01-25,60,NA,0
26,1893-01-26,49,NA,0.5
27,1893-01-27,35,NA,NA
28,1893-01-28,42,NA,0
29,1893-01-29,41,NA,0
30,1893-01-30,48,NA,0.6
31,1893-01-31,32,NA,0
32,1893-02-01,29,9,NA
33,1893-02-02,40,28,NA
34,1893-02-03,41,28,NA
35,1893-02-04,39,27,NA
36,1893-02-05,33,28,0.44
37,1893-02-06,37,14,NA
38,1893-02-07,34,10,NA
39,1893-02-08,45,24,NA
40,1893-02-09,44,24,0.06
41,1893-02-10,49,17,NA
42,1893-02-11,49,15,NA
43,1893-02-12,44,27,NA
44,1893-02-13,30,11,NA
45,1893-02-14,33,19,NA
46,1893-02-15,38,10,NA
47,1893-02-16,49,24,NA
48,1893-02-17,49,24,NA
49,1893-02-18,50,27,NA
50,1893-02-19,48,31,NA
51,1893-02-20,47,22,NA
52,1893-02-21,56,23,NA
53,1893-02-22,45,25,NA
54,1893-02-23,49,21,NA
55,1893-02-24,46,24,NA
56,1893-02-25,48,22,NA
57,1893-02-26,33,22,0.1
58,1893-02-27,42,21,NA
59,1893-02-28,49,19,NA
60,1893-03-01,49,24,0
61,1893-03-02,50,22,0
62,1893-03-03,52,32,0
63,1893-03-04,65,31,0.05
64,1893-03-05,45,25,0
65,1893-03-06,44,22,0
66,1893-03-07,44,30,0
67,1893-03-08,41,27,0
68,1893-03-09,38,18,0
69,1893-03-10,42,25,0
70,1893-03-11,40,24,0
71,1893-03-12,37,20,0
72,1893-03-13,43,13,0
73,1893-03-14,45,29,0
74,1893-03-15,44,30,0
75,1893-03-16,47,31,0
76,1893-03-17,52,28,0
77,1893-03-18,51,32,0
78,1893-03-19,54,39,0.09
79,1893-03-20,54,37,0.28
80,1893-03-21,44,28,0.12
81,1893-03-22,45,32,0
82,1893-03-23,38,22,0.04
83,1893-03-24,52,31,0
84,1893-03-25,58,52,0
85,1893-03-26,60,42,0
86,1893-03-27,69,28,0
87,1893-03-28,73,33,0
88,1893-03-29,69,40,0
89,1893-03-30,59,46,0
90,1893-03-31,57,37,0
91,1893-04-01,63,29,0
92,1893-04-02,60,32,0
93,1893-04-03,58,41,0
94,1893-04-04,60,33,0
95,1893-04-05,57,39,0
96,1893-04-06,39,24,0.2
97,1893-04-07,46,22,0
98,1893-04-08,46,28,0.03
99,1893-04-09,52,23,0
100,1893-04-10,41,20,0.01
101,1893-04-11,47,20,0
102,1893-04-12,44,22,0
103,1893-04-13,52,19,0
104,1893-04-14,56,30,0
105,1893-04-15,60,28,0
106,1893-04-16,59,35,0
107,1893-04-17,54,30,0
108,1893-04-18,57,29,0
109,1893-04-19,61,25,0
110,1893-04-20,68,33,0
111,1893-04-21,61,42,0
112,1893-04-22,57,39,0
113,1893-04-23,42,34,0
114,1893-04-24,47,23,0.14
115,1893-04-25,60,28,0
116,1893-04-26,62,39,0
117,1893-04-27,51,31,0
118,1893-04-28,45,32,0
119,1893-04-29,59,34,0
120,1893-04-30,57,37,0
121,1893-05-01,60,24,0
122,1893-05-02,60,42,0
123,1893-05-03,58,38,0
124,1893-05-04,53,30,0
125,1893-05-05,57,31,0
126,1893-05-06,65,31,0
127,1893-05-07,74,35,0
128,1893-05-08,67,43,0
129,1893-05-09,70,36,0
130,1893-05-10,73,36,0
131,1893-05-11,80,35,0
132,1893-05-12,80,44,0
133,1893-05-13,80,43,0
134,1893-05-14,72,52,0
135,1893-05-15,68,42,0
136,1893-05-16,65,38,0
137,1893-05-17,47,34,0
138,1893-05-18,53,30,0
139,1893-05-19,61,30,0
140,1893-05-20,51,29,0.11
141,1893-05-21,58,28,0
142,1893-05-22,72,32,0
143,1893-05-23,70,42,0.02
144,1893-05-24,51,30,0
145,1893-05-25,58,28,0
146,1893-05-26,60,30,0
147,1893-05-27,66,30,0
148,1893-05-28,72,39,0
149,1893-05-29,71,38,0
150,1893-05-30,73,33,0
151,1893-05-31,73,39,0
152,1893-06-01,79,42,0
153,1893-06-02,80,49,0
154,1893-06-03,80,37,0
155,1893-06-04,81,39,0
156,1893-06-05,82,39,0
157,1893-06-06,82,43,0
158,1893-06-07,76,43,0
159,1893-06-08,80,41,0
160,1893-06-09,81,41,0
161,1893-06-10,82,43,0
162,1893-06-11,71,46,0
163,1893-06-12,59,40,0
164,1893-06-13,67,40,0
165,1893-06-14,75,38,0
166,1893-06-15,83,44,0
167,1893-06-16,82,42,0
168,1893-06-17,83,41,0
169,1893-06-18,72,38,0
170,1893-06-19,72,34,0
171,1893-06-20,74,38,0
172,1893-06-21,80,41,0
173,1893-06-22,62,41,0
174,1893-06-23,72,34,0
175,1893-06-24,78,43,0
176,1893-06-25,77,41,0
177,1893-06-26,77,42,0
178,1893-06-27,75,40,0
179,1893-06-28,75,39,0
180,1893-06-29,82,45,0
181,1893-06-30,86,48,0
